
"End date"	"Campaign budget"	"Daily budget (campaign)"	"Reach (estimated)"	"Impressions"	"Clicks"	"CTR (click-through rate)"	"CPC (cost per click)"	"Cost"	"Configured status"	"Status"	"Start date"
"Run indefinitely"	"Unlimited"	"10000"	"7984"	"35902"	"53"	"0.15%"	"74"	"3940"	"ACTIVE"	"ACTIVE"	"2025/5/1 12:03"
"2025/3/31 10:00"	"10000"	"5000"	"34216"	"54399"	"117"	"0.22%"	"83"	"9791"	"ACTIVE"	"NOT_DELIVERING"	"2025/2/28 10:01"
"Run indefinitely"	"Unlimited"	"10000"	"7053"	"18921"	"115"	"0.61%"	"12"	"1485"	"ACTIVE"	"ACTIVE"	"2025/7/1 00:19"
"Run indefinitely"	"10000"	"5000"	"3080"	"15497"	"14"	"0.09%"	"70"	"980"	"ACTIVE"	"ACTIVE"	"2026/3/17 14:40"
"Run indefinitely"	"10000"	"10000"	"3154"	"16530"	"19"	"0.11%"	"105"	"1999"	"ACTIVE"	"ACTIVE"	"2025/7/1 12:12"
"2025/2/4 22:02"	"Unlimited"	"5000"	"40153"	"60788"	"59"	"0.10%"	"164"	"9689"	"ACTIVE"	"NOT_DELIVERING"	"2025/2/3 12:03"
"Run indefinitely"	"10000"	"5000"	"437"	"853"	"1"	"0.12%"	"74"	"74"	"ACTIVE"	"ACTIVE"	"2025/6/1 17:55"
"2025/3/31 23:59"	"Unlimited"	"5000"	"0"	"0"	"0"	"0.00%"	"0"	"0"	"ACTIVE"	"NOT_DELIVERING"	"2025/3/22 10:47"
"Run indefinitely"	"10600"	"10000"	"4967"	"9588"	"8"	"0.08%"	"190"	"1525"	"ACTIVE"	"ACTIVE"	"2025/7/7 20:29"
"Run indefinitely"	"10000"	"5000"	"28827"	"71693"	"80"	"0.11%"	"73"	"5910"	"PAUSED"	"PAUSED"	"2025/4/7 10:37"
"2025/5/5 12:00"	"20000"	"5000"	"52007"	"83846"	"176"	"0.21%"	"52"	"9161"	"PAUSED"	"NOT_DELIVERING"	"2025/5/1 12:00"
"2025/1/31 12:00"	"10000"	"5000"	"17119"	"33627"	"16"	"0.05%"	"193"	"3089"	"ACTIVE"	"NOT_DELIVERING"	"2025/1/30 12:57"
"2025/2/1 22:00"	"10000"	"5000"	"36151"	"60529"	"82"	"0.14%"	"122"	"10056"	"ACTIVE"	"NOT_DELIVERING"	"2025/1/31 12:00"
"Run indefinitely"	"10000"	"10000"	"38039"	"391495"	"433"	"0.11%"	"74"	"32166"	"ACTIVE"	"ACTIVE"	"2025/7/8 19:32"
